epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5850.28,0.96353,0.6911,1.26123,0.95031,0.90881,0.94325,0.69347,0.58944,1.23075,0.83401,0.007921,0.007921,0.007921
44,5966.95,0.96768,0.69695,1.26325,0.94843,0.9017,0.94081,0.69774,0.58697,1.14714,0.83043,0.0078715,0.0078715,0.0078715
45,6083.62,0.94937,0.67302,1.24962,0.95241,0.91823,0.95109,0.70484,0.58233,1.02978,0.82372,0.007822,0.007822,0.007822
46,6200.42,0.95587,0.67826,1.25597,0.95072,0.90853,0.94659,0.70357,0.57636,1.22385,0.81978,0.0077725,0.0077725,0.0077725
47,6321.49,0.95447,0.68067,1.25041,0.95763,0.90294,0.95014,0.70396,0.57794,1.09836,0.81805,0.007723,0.007723,0.007723
48,6441.56,0.94905,0.67867,1.24756,0.94831,0.91556,0.94842,0.70221,0.5785,1.13525,0.81771,0.0076735,0.0076735,0.0076735
49,6561.73,0.93652,0.66224,1.24372,0.96807,0.91401,0.95413,0.71001,0.57651,1.2769,0.81768,0.007624,0.007624,0.007624
50,6680.46,0.94073,0.66092,1.24335,0.95282,0.90509,0.9513,0.70588,0.57672,1.22062,0.8158,0.0075745,0.0075745,0.0075745
51,6800.52,0.93821,0.66275,1.24469,0.95487,0.9152,0.95401,0.71071,0.57289,1.00763,0.81503,0.007525,0.007525,0.007525
52,6922.94,0.932,0.65858,1.23881,0.95319,0.91424,0.95373,0.71107,0.56697,1.02764,0.81202,0.0074755,0.0074755,0.0074755
53,7041.31,0.93112,0.65525,1.24286,0.95534,0.92476,0.95607,0.71373,0.56448,1.02005,0.80896,0.007426,0.007426,0.007426
54,7160.18,0.92016,0.64946,1.22904,0.95993,0.92526,0.95625,0.71615,0.56186,1.0579,0.80307,0.0073765,0.0073765,0.0073765
55,7278.67,0.91732,0.64695,1.2249,0.95841,0.92301,0.95753,0.71364,0.56089,1.06914,0.80347,0.007327,0.007327,0.007327
56,7397.08,0.91642,0.64588,1.23082,0.94952,0.92272,0.95198,0.71441,0.55509,1.03054,0.79936,0.0072775,0.0072775,0.0072775
57,7516.26,0.91952,0.64274,1.22447,0.95056,0.92124,0.94678,0.71336,0.55523,1.00846,0.79993,0.007228,0.007228,0.007228
58,7634.63,0.91197,0.63228,1.22341,0.95014,0.9267,0.95078,0.7193,0.55246,0.99594,0.79697,0.0071785,0.0071785,0.0071785
59,7753.7,0.90854,0.63129,1.21683,0.96908,0.91799,0.9542,0.71966,0.55117,1.10402,0.7947,0.007129,0.007129,0.007129
60,7871.88,0.90415,0.62838,1.21492,0.96913,0.91625,0.95839,0.72489,0.55263,1.05413,0.79677,0.0070795,0.0070795,0.0070795
61,7990.34,0.90641,0.63151,1.21662,0.96853,0.92306,0.95868,0.72759,0.54827,1.15474,0.79134,0.00703,0.00703,0.00703
62,8108.2,0.89551,0.6156,1.21162,0.96101,0.92775,0.9569,0.72856,0.54538,0.96607,0.79005,0.0069805,0.0069805,0.0069805
63,8226.91,0.89702,0.62791,1.21722,0.9685,0.91483,0.95626,0.72888,0.54093,0.95231,0.78632,0.006931,0.006931,0.006931
64,8347.58,0.89735,0.61432,1.20995,0.96641,0.91218,0.95443,0.72788,0.53747,1.04693,0.78273,0.0068815,0.0068815,0.0068815
65,8467.54,0.89138,0.6092,1.20741,0.96795,0.91047,0.95612,0.73385,0.54029,0.98368,0.78478,0.006832,0.006832,0.006832
66,8587.21,0.88298,0.60883,1.20234,0.95159,0.93595,0.95716,0.7299,0.54001,1.11801,0.78413,0.0067825,0.0067825,0.0067825
67,8707.51,0.88285,0.60751,1.19822,0.97819,0.91946,0.95821,0.73216,0.53931,1.06379,0.78197,0.006733,0.006733,0.006733
68,8827.27,0.87589,0.60427,1.20041,0.96306,0.92197,0.95671,0.73266,0.53616,0.96938,0.78028,0.0066835,0.0066835,0.0066835
69,8947.99,0.87255,0.59452,1.1959,0.9675,0.92698,0.95898,0.73703,0.53205,1.02136,0.77769,0.006634,0.006634,0.006634
70,9067.63,0.87734,0.59564,1.20095,0.97008,0.92671,0.96264,0.7385,0.5313,0.9744,0.77743,0.0065845,0.0065845,0.0065845
71,9186.73,0.87192,0.59752,1.19575,0.97278,0.924,0.96041,0.73854,0.53171,0.91146,0.77726,0.006535,0.006535,0.006535
72,9306.19,0.86133,0.59458,1.19039,0.96001,0.93372,0.96439,0.73785,0.52941,0.9259,0.77467,0.0064855,0.0064855,0.0064855
73,9424.66,0.86418,0.59037,1.19119,0.95286,0.93861,0.96292,0.7389,0.52592,0.92593,0.77101,0.006436,0.006436,0.006436
74,9542.21,0.86986,0.59501,1.19557,0.96692,0.93672,0.96226,0.74109,0.52304,1.01311,0.76907,0.0063865,0.0063865,0.0063865
75,9659.73,0.85868,0.58665,1.19201,0.96684,0.94288,0.965,0.74577,0.52205,1.01611,0.76905,0.006337,0.006337,0.006337
76,9779.64,0.85511,0.57857,1.19172,0.9656,0.94231,0.96409,0.7453,0.52054,1.06783,0.76788,0.0062875,0.0062875,0.0062875
77,9899.69,0.85332,0.57222,1.18281,0.97319,0.93281,0.96287,0.74593,0.51855,1.06503,0.76651,0.006238,0.006238,0.006238
78,10019.3,0.85509,0.57775,1.18892,0.97352,0.93075,0.96067,0.74617,0.51697,1.04444,0.7654,0.0061885,0.0061885,0.0061885
79,10139.9,0.85212,0.58086,1.18378,0.96561,0.93818,0.96091,0.75007,0.51465,1.0426,0.76368,0.006139,0.006139,0.006139
80,10259.4,0.84353,0.5711,1.17793,0.96875,0.93857,0.96443,0.75377,0.51339,1.0382,0.76294,0.0060895,0.0060895,0.0060895
81,10379.3,0.84818,0.57268,1.17716,0.96826,0.93622,0.96191,0.75207,0.51248,1.07244,0.76198,0.00604,0.00604,0.00604
82,10499.5,0.83299,0.56207,1.17216,0.96911,0.93812,0.96178,0.753,0.51286,1.11116,0.76263,0.0059905,0.0059905,0.0059905
83,10619.8,0.82874,0.563,1.17276,0.96741,0.94291,0.96324,0.75302,0.51079,1.1564,0.76096,0.005941,0.005941,0.005941
84,10740.4,0.83654,0.56876,1.17609,0.96807,0.93965,0.96477,0.753,0.51047,1.18992,0.76111,0.0058915,0.0058915,0.0058915
85,10859.9,0.83398,0.55794,1.16953,0.96496,0.94648,0.96414,0.75279,0.50974,1.20616,0.76043,0.005842,0.005842,0.005842
86,10981.2,0.8358,0.56128,1.16952,0.96911,0.94184,0.96192,0.75444,0.51022,1.19508,0.7596,0.0057925,0.0057925,0.0057925
87,11104.1,0.82511,0.55385,1.16423,0.96972,0.94386,0.96248,0.75344,0.50857,1.19549,0.75766,0.005743,0.005743,0.005743
88,11226.3,0.82921,0.55609,1.16912,0.96359,0.94077,0.96181,0.75387,0.50767,1.19233,0.75704,0.0056935,0.0056935,0.0056935
89,11348.5,0.82475,0.55291,1.16353,0.97062,0.93762,0.96375,0.75429,0.5074,1.18245,0.75617,0.005644,0.005644,0.005644
90,11470,0.82149,0.54554,1.16134,0.96805,0.9429,0.96395,0.75448,0.50635,1.15407,0.75539,0.0055945,0.0055945,0.0055945
91,11592.2,0.81702,0.54271,1.15861,0.96772,0.94106,0.96339,0.75511,0.50508,1.17747,0.75479,0.005545,0.005545,0.005545
92,11714.3,0.80882,0.53937,1.15644,0.96832,0.94131,0.96357,0.7553,0.50402,1.17539,0.75437,0.0054955,0.0054955,0.0054955
