epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,22444.8,0.58951,0.37767,1.03859,0.9707,0.94828,0.96663,0.77811,0.46964,0.86896,0.7293,0.000991,0.000991,0.000991
184,22563,0.59303,0.38276,1.03927,0.97087,0.94828,0.96666,0.77828,0.4694,0.86822,0.72917,0.0009415,0.0009415,0.0009415
185,22682,0.59413,0.379,1.03855,0.97061,0.94825,0.96662,0.7786,0.46912,0.8679,0.72904,0.000892,0.000892,0.000892
186,22800.3,0.58604,0.37855,1.03529,0.97055,0.94828,0.96664,0.77893,0.46886,0.86763,0.72889,0.0008425,0.0008425,0.0008425
187,22918.8,0.58684,0.37919,1.03608,0.97055,0.94842,0.96756,0.77936,0.46861,0.86712,0.72877,0.000793,0.000793,0.000793
188,23037.4,0.58172,0.37445,1.03036,0.97047,0.94832,0.96756,0.7795,0.46844,0.86657,0.72864,0.0007435,0.0007435,0.0007435
189,23155.7,0.58683,0.37608,1.03616,0.97074,0.94838,0.9676,0.77956,0.46823,0.86619,0.7285,0.000694,0.000694,0.000694
190,23274.6,0.57551,0.36983,1.02703,0.97082,0.94838,0.96763,0.78007,0.46799,0.86618,0.72833,0.0006445,0.0006445,0.0006445
191,23405.4,0.49683,0.25687,0.98038,0.97084,0.94839,0.96768,0.78044,0.46776,0.86682,0.72814,0.000595,0.000595,0.000595
192,23523.7,0.47846,0.24679,0.96575,0.97061,0.94784,0.96775,0.78039,0.46751,0.8672,0.72798,0.0005455,0.0005455,0.0005455
193,23642.2,0.47684,0.24476,0.96679,0.9696,0.94789,0.96775,0.78011,0.46733,0.86757,0.72785,0.000496,0.000496,0.000496
194,23761,0.47199,0.24348,0.96367,0.9678,0.95081,0.96784,0.77986,0.46714,0.86746,0.72771,0.0004465,0.0004465,0.0004465
195,23879.7,0.46686,0.24179,0.95868,0.96797,0.95077,0.96791,0.78017,0.46689,0.86704,0.7276,0.000397,0.000397,0.000397
196,23997.6,0.45868,0.23871,0.95502,0.96817,0.95065,0.96789,0.78008,0.46668,0.86682,0.72748,0.0003475,0.0003475,0.0003475
197,24116.1,0.45455,0.23739,0.95178,0.96849,0.95034,0.96791,0.78061,0.46645,0.86665,0.72731,0.000298,0.000298,0.000298
198,24234.3,0.45482,0.2336,0.95569,0.96861,0.95021,0.96795,0.78102,0.46622,0.86586,0.72716,0.0002485,0.0002485,0.0002485
199,24353.5,0.448,0.23369,0.94876,0.96865,0.94994,0.96799,0.78086,0.46598,0.86519,0.72704,0.000199,0.000199,0.000199
200,24471.8,0.44862,0.23565,0.95348,0.96879,0.94968,0.96775,0.78061,0.46574,0.86472,0.72693,0.0001495,0.0001495,0.0001495
